מספר סידורי,קישור-באתר,שם הסרט,שנה,אורך,ז'אנר,שחקנים,תיקייה
115,http://www.torec.net/sub.asp?sub_id=524,ילד בועה,2001,84 דקות,קומדיה,ג'ק גיילנהייל דני טרג'ו וורן טרוייר מרלי שלטון,movies/ילד בועה.txt
116,http://www.torec.net/sub.asp?sub_id=525,להתחיל מחדש,2000,144 דקות,מתח / פעולה / הרפתקאות,טום הנקס הלן האנט ניק סירסי כריס נות',movies/להתחיל מחדש.txt
117,http://www.torec.net/sub.asp?sub_id=527,תפוס אותי אם תוכל,2002,141 דקות,ביוגרפיה / פשע / דרמה,ג'ניפר גארנר איימי אדאמס ליאונרדו דיקפריו טום הנקס מרטין שין כריסטופר ווקן נטלי ביי,movies/תפוס אותי אם תוכל.txt
118,http://www.torec.net/sub.asp?sub_id=528,משנים כיוון,2002, ,מתח / פעולה,בן אפלק סמואל ל. ג'קסון,movies/משנים כיוון.txt
119,http://www.torec.net/sub.asp?sub_id=529,המלאכיות של צ'רלי,2000,92 דקות,מתח / פעולה,נטלי דילאן אלכס בוסלי אריק נוקס ויויאן ווד רוג'ר קורוו'ין איש רזה ג'ייסון מיסטר ג'ונס,movies/המלאכיות של צ'רלי.txt
120,http://www.torec.net/sub.asp?sub_id=486,ארבעת המופלאים,2005,106 דקות,"פעולה,  מדע בדיוני.",איואן גראפורד ג'סיקה אלבה כריס אוונס מייקל ציקליס קרי וושינגטון ג'וליאן מקמאון סטן לי,movies/ארבעת המופלאים.txt
121,http://www.torec.net/sub.asp?sub_id=487,דום,2005,102 דקות,מציצת כסף ממשחקי מחשב,דה רוק קארל אורבן רוזמונד פייק,movies/דום.txt
122,http://www.torec.net/sub.asp?sub_id=516,רצח מתקתק,2002,110 דקות,דרמה / מתח,קלינט איסטווד ג'ף דניאלס אנג'ליקה יוסטון טינה ליפרד דינה איסווד,movies/רצח מתקתק.txt
123,http://www.torec.net/sub.asp?sub_id=518,בלו קראש,2002,100 דקות,דרמה / רומנטיקה,קייט בוסוורת' מישל רודריגז סאנו לייק מת'יו דייויס,movies/בלו קראש.txt
124,http://www.torec.net/sub.asp?sub_id=433,אטלנטיס-האימפריה האבודה,2001,96 דקות,אנימציה / ילדים,מייקל ג'יי פוקס ג'יימס גרנר קרי אסמר ליאונרד נימוי דון נובלו קלאודיה קריסטן ז'קלין אובראדורס ג'ון מהוני דיוויד אוגדן סטירס פלורנס סטנלי,movies/אטלנטיס-האימפריה האבודה.txt
125,http://www.torec.net/sub.asp?sub_id=443,בליסטיק,2002,91 דקות,פעולה / מדע בדיוני / מתח,אנתוניו בנדרס לוסי לו גרג הנרי ריי פארק טליסה סוטו,movies/בליסטיק.txt
126,http://www.torec.net/sub.asp?sub_id=446,באראן,2001,95 דקות,זר / הרפתקה / דרמה / רומנטיקה,זהרה בהרמי חוסיין אבדיני מוחמד אמיר נאג'י עבאס רהימי עלי באקשי,movies/באראן.txt
127,http://www.torec.net/sub.asp?sub_id=450,בחדר המיטות,2001,130 דקות,דרמה,סיסי ספייסק טום וילקינסון מריסה טומיי ניק סטאל ווילאם מאפות'ר וילאם וייז סיליה וסטון,movies/בחדר המיטות.txt
128,http://www.torec.net/sub.asp?sub_id=456,האביר השחור,2001,95 דקות,הרפתקה / קומדיה / פנטזיה,מרשה תומאסון וינסנט ריגן מרטין לורנס טום וילקינסון,movies/האביר השחור.txt
129,http://www.torec.net/sub.asp?sub_id=418,אמריקן פאי 2,2001,105 דקות,קומדיה,ג'ייסון ביגס שאנון אליזבת אליסון האניגמן כריס קליין נטשה ליון תומס איאן ניקולאס טארה רייד שון ווליאם מינה סוברי אדי קיי תומס יוג'ין לוי,movies/אמריקן פאי 2.txt
130,http://www.torec.net/sub.asp?sub_id=420,אמריקן ביוטי,1999,121 דקות,קומדיה,לסטר ברנהם קרולין ברנהם גיין ברנהם ריקי פיטס אנג'לה קולונל פיטס באדי קיין,movies/אמריקן ביוטי.txt
131,http://www.torec.net/sub.asp?sub_id=422,אמריקה ‏X ‏,1998,117 דקות,דרמה / פשע / מתח,אדוארד נורטון אדוארד פרלונג בוורלי ד'אנג'לו אוורי ברוקס ג'ניפר ליאן איתן ספלי סטייסי קיץ' פיירוזה באלק אליוט גולד,movies/אמריקה ‏X ‏.txt
132,http://www.torec.net/sub.asp?sub_id=493,מים אפלים,2005,105 דקות,אימה,ג'ניפר קונלי אריאל גייד שלי דובל לינדה אמונד קמרון מנאיים ג'ון סי ריילי טים רות' דוגרי סקוט פיט פוסטלטוויט,movies/מים אפלים.txt
133,http://www.torec.net/sub.asp?sub_id=1076,הצעקה - הטרילוגיה,1996, ,אימה - מתח,נב קמפבל דיוויד ארקט קורטני קוקס,movies/הצעקה - הטרילוגיה.txt
134,http://www.torec.net/sub.asp?sub_id=1021,ג'ון קיו,2002,116 דקות,דרמה,דנזל וושינגטון ג'יימס וודס אן הייש רוברט דובאל,movies/ג'ון קיו.txt
135,http://www.torec.net/sub.asp?sub_id=1037,בלייד 3 - טריניטי,2004,113 דקות,מתח / פעולה,ווסלי סנייפס קריס קריסטופרסון ריאן ריינולדס ג'סיקה בייל,movies/בלייד 3 - טריניטי.txt
136,http://www.torec.net/sub.asp?sub_id=1039,רובוטס,2005,91 דקות,ילדים / קומדיה,רובין וויליאמס איאן מקגרגר האלי ברי מל ברוקס,movies/רובוטס.txt
137,http://www.torec.net/sub.asp?sub_id=999,אהבה קולומביאנית,2004,95 דקות,דרמה / קומדיה / ישראלי,אסי כהן מילי אביטל אסנת חכים,movies/אהבה קולומביאנית.txt
138,http://www.torec.net/sub.asp?sub_id=1000,האושפיזין,2004,90 דקות,דרמה / ישראלי,שולי רנד מיכל בת שבע רנד שאול מזרחי אילן גנני,movies/האושפיזין.txt
139,http://www.torec.net/sub.asp?sub_id=1001,הכלה הסורית,2004,97 דקות,דרמה,היאם עבאס מכרם ח'ורי קלרה ח'ורי אשרף ברהום,movies/הכלה הסורית.txt
140,http://www.torec.net/sub.asp?sub_id=1002,ניחוח אישה,1992,157 דקות,דרמה,אל פצ'ינו כריס או'דונל גבריאל אנוואר פיליפ סימור הופמן,movies/ניחוח אישה.txt
141,http://www.torec.net/sub.asp?sub_id=1003,שמונה לילות מטורפים,2002,77 דקות,אנימציה / ילדים,אדם סנדלר ג'קי טיטון אוסטין סטאוט,movies/שמונה לילות מטורפים.txt
142,http://www.torec.net/sub.asp?sub_id=1017,לב אמיץ,1995,177 דקות,דרמה / פעולה,מל גיבסון סופי מרסיו,movies/לב אמיץ.txt
143,http://www.torec.net/sub.asp?sub_id=983,שחקני משנה,2005,80 דקות,תיעודי,,movies/שחקני משנה.txt
144,http://www.torec.net/sub.asp?sub_id=985,חמישה ילדים והדבר,2004,89 דקות,"הרפתקאות, משפחה, פנטזיה","אדי איזארד (הקול של ה""דבר"") פרדי היימור ג'ונתן ביילי ג'סיקה קלרידג' פופי רוג'רס אלק מוגלתון קנט ברנג",movies/חמישה ילדים והדבר.txt
145,http://www.torec.net/sub.asp?sub_id=991,באקסטר,2005,91 דקות,קומדיה / רומנטיקה,מייקל שוולטר אליזבת בנקס מישל וויליאמס ,movies/באקסטר.txt
146,http://www.torec.net/sub.asp?sub_id=933,הצלצול,2002,116 דקות,אימה,נעמי ווטס מרטין הנדרסון דיוויד דורפמן,movies/הצלצול.txt
147,http://www.torec.net/sub.asp?sub_id=949,מועדון הגולגלות,2000,106 דקות,דרמה / מתח,ג'ושוע ג'קסון פול וולקר היל הרפר כריסטופר מקדונלד לסלי ביל,movies/מועדון הגולגלות.txt
148,http://www.torec.net/sub.asp?sub_id=974,סילביה,2005,110 דקות,דרמה / רומנטית,גווינת פאלטרו דניאל קרייג,movies/סילביה.txt
149,http://www.torec.net/sub.asp?sub_id=905,מוצארט והלוויתן,2005, ,דרמה,ג'וש הארטנט גרי קול אלן אבנג'ליסטה שילה קלי,movies/מוצארט והלוויתן.txt
150,http://www.torec.net/sub.asp?sub_id=910,דברי ימי נארניה,2005,132 דקות,הרפתקאות - פנטזיה,ג'ורגי הנלי וויליאם מוסלי סקאנדר קינאס אנה פופלוול טילדה סווינטון רופרט האוורט ליאם ניסן ג'ים ברודבנט ריי וינסטון,movies/דברי ימי נארניה.txt
151,http://www.torec.net/sub.asp?sub_id=931,הפסנתרן,2002,148 דקות,דרמה,אדריאן ברודי מורין ליפמן פרנק פינליי ג'סיקה מיירס תומס קרצ'מן דורוטה,movies/הפסנתרן.txt
152,http://www.torec.net/sub.asp?sub_id=866,עקיצה ב-60 שניות,2000,119 דקות,פעולה / פשע / מתח,ניקולס קייג' ג'ובאני ריביסי אנג'לינה ג'ולי דלרוי לינדו וויל פאטון כריסטופר אקלסטון צ'י מק'ברייד רוברט דובאל סקוט קאן טימותי אוליפנט וויליאם לי סקוט ויני ג'ונס ג'יימס דובאל טי. ג'יי קרוס מייקל פנה,movies/עקיצה ב-60 שניות.txt
153,http://www.torec.net/sub.asp?sub_id=882,פלוטו נאש,2002,95 דקות,קומדיה / אקשן / מדע בדיוני,אדי מרפי רוסריו דוסון,movies/פלוטו נאש.txt
154,http://www.torec.net/sub.asp?sub_id=883,לא דופקות חשבון,2002,97 דקות,קומדיה,ג'פרי ראש גולדי הון סוזן סרנדון אריקה כריסטיאנסן,movies/לא דופקות חשבון.txt
155,http://www.torec.net/sub.asp?sub_id=886,רואה בקלפים,2001,110 דקות,מתח / אימה,קייט בלנשט קיאנו ריבס ג'ובאני רביסי קייטי הולמס גרג קינר הילרי סוואנק,movies/רואה בקלפים.txt
156,http://www.torec.net/sub.asp?sub_id=892,בחורה טובה,2002,93 דקות,דרמה,ג'ניפר אניסטון טים בלייק נלסון מייק ווייט ג'ייק גילנהול,movies/בחורה טובה.txt
157,http://www.torec.net/sub.asp?sub_id=895,המטריקס,1999,136 דקות,אקשן / פעולה / מדע בדיוני,קיאנו ריבס לורנס פישבורן קארי אן מוס,movies/המטריקס.txt
158,http://www.torec.net/sub.asp?sub_id=898,המומיה 2,2001,130 דקות,מתח / פעולה/\ הרפתקאות,ארנולד ווסלו ג'ון האנה רייצ'ל וויז עודד פהר ברנדון פרייזר,movies/המומיה 2.txt
159,http://www.torec.net/sub.asp?sub_id=44647,שכנים 2,2016,92 דקות,קומדיה,רוז ביירן קלואי גרייס מורץ סת' רוגן זאק אפרון אייק ברינהולץ דייב פרנקו,movies/שכנים 2.txt
160,http://www.torec.net/sub.asp?sub_id=818,אלכס ואמה,2003,96 דקות,קומדיה / רומנטיקה,לוק ווילסון קייט הדסון רוב ריינר דייויד פיימר סופי מרסו ג'ורדן לאנד קלוריס ליצ'מן,movies/אלכס ואמה.txt
161,http://www.torec.net/sub.asp?sub_id=819,אלפי,2004, ,דרמה / קומדיה,ג'וד לאו סיאנה מילר סוזן סרנדון מאריסה טומיי עומר אפס ניאה לונג ג'יין קארקווסקי,movies/אלפי.txt
162,http://www.torec.net/sub.asp?sub_id=822,והרי החדשות,2004,94 דקות,קומדיה,וויל פרל כריסטינה אפלגייט,movies/והרי החדשות.txt
163,http://www.torec.net/sub.asp?sub_id=804,נקמת הנינג'ה,1983,90 דקות,אומנויות לחימה - פעולה - דרמה,שו קוסוגי קית' ויטלי,movies/נקמת הנינג'ה.txt
164,http://www.torec.net/sub.asp?sub_id=812,בטווח המוות,2005,95 דקות,פעולה,ווסלי סנייפ אמה סאמס וויליאם הופ וורן דרוסה סרג' סוריק,movies/בטווח המוות.txt
165,http://www.torec.net/sub.asp?sub_id=750,פגוש את הפוקרס,2004,115 דקות,קומדיה,בן סטילר דסטין הופמן רוברט דה נירו בליית דאנר ברברה סטרייסנד טרי פולו אוון וילסון,movies/פגוש את הפוקרס.txt
166,http://www.torec.net/sub.asp?sub_id=705,משחק מכור,2005,113 דקות,קומדיה,אדם סנדלר כריס רוק נלי ברט ריינולדס ג'יימס קרומוול,movies/משחק מכור.txt
167,http://www.torec.net/sub.asp?sub_id=706,גבר מי שמטפלת,2005, ,קומדיה,וין דיזל בריטני סנו מקס טיריוט מורגן יורק פיית פורד בראד גארט כריס פוטר קרול קין,movies/גבר מי שמטפלת.txt
168,http://www.torec.net/sub.asp?sub_id=674,סודות נעולים,2005,86 דקות,אימה / דרמה / מתח / מיסתורין,קייט הדסון ג'ינה רולנדס ג'ון הארט פיטר סארסגארד ג'וי בריאנט מקסין ברנט פנלוני האריס,movies/סודות נעולים.txt
169,http://www.torec.net/sub.asp?sub_id=678,דוגמה,1999,120 דקות,קומדיה,קויין סמית' סלמה הייק כריס רוק ג'יסון מיוז ג'יסון לי,movies/דוגמה.txt
170,http://www.torec.net/sub.asp?sub_id=691,שישי הפוך,2003,93 דקות,קומדיה,ג'יימי לי קרטיס לינדסיי לוהן מארק הרמון הרולד גולד צ'אד מייקל מאריי,movies/שישי הפוך.txt
171,http://www.torec.net/sub.asp?sub_id=635,פיצוח צופן דה וינצ'י,2004,120 דקות,תעודה,סוזן דיוויס סטפן א.הולר מארק אוקסברו לין פיקנט,movies/פיצוח צופן דה וינצ'י.txt
172,http://www.torec.net/sub.asp?sub_id=641,איילנד,2005,136 דקות,מדע בדיוני,יואן מק'רגור סקרלט ג'והנסון דג'ימון אונסו סטיב בושמי שון בין מייקל קלארק דאנקן,movies/איילנד.txt
173,http://www.torec.net/sub.asp?sub_id=619,והפרות עפות...,2004,60 דקות,אינטלקטואלי,מאגנוס ארבה מריה פאס ארסייה,movies/והפרות עפות....txt
174,http://www.torec.net/sub.asp?sub_id=626,חותנת בהפרעה,2005,101 דקות,קומדיה,ג'ניפר לופז ג'יין פונדה מייקל ורטן,movies/חותנת בהפרעה.txt
175,http://www.torec.net/sub.asp?sub_id=533,צעצוע של סיפור 2,1999,92 דקות,אנימציה - ילדים - קומדיה - הרפתקאות,טום הנקס טים אלן ג'ואן קיוזאק קלסי גרמר דון ריקלס וואלס שון,movies/צעצוע של סיפור 2.txt
176,http://www.torec.net/sub.asp?sub_id=494,רכוש ציבורי 2,2005,94 דקות,פעולה / דרמה / פשע / מוזיקלי,ביני סיגל נורגה דיימון דאש מייקל בנט אומיליו ספארקס,movies/רכוש ציבורי 2.txt
177,http://www.torec.net/sub.asp?sub_id=498,צ'יקן ליטל,2005,81 דקות,קומדיה - אנימציה - הרפתקאות,זאק בראף ג'ואן קיוזק גארי מרשל קתרין אוהרה סטיב זאן פטריק סטיוארט אדם ווסט,movies/צ'יקן ליטל.txt
178,http://www.torec.net/sub.asp?sub_id=447,החוף,2000,119 דקות,דרמה,לאונרדו דקפריו טילדה סווינטון וירג'ניה לדויאן,movies/החוף.txt
