מספר סידורי,קישור-באתר,שם הסרט,שנה,אורך,ז'אנר,שחקנים,תיקייה
48,http://www.torec.net/sub.asp?sub_id=1032,סהרה,2005,124 דקות,הרפתקאה / פעולה,מתיו מקונהי פנלופה קרוז,movies/סהרה.txt
49,http://www.torec.net/sub.asp?sub_id=1036,דרך ללא מוצא,2003,85 דקות,מתח / אימה,ריי ווייס לין שיי מיק קיין,movies/דרך ללא מוצא.txt
50,http://www.torec.net/sub.asp?sub_id=1040,קונסטנטין,2005,121 דקות,אקשן / דרמה / פנטזיה,קיאנו ריבס רייצ'ל ווייז שאיה להבוף דג'ימון אונסו מקס בקר פרואיט טיילור וינס טילדה סווינטון,movies/קונסטנטין.txt
51,http://www.torec.net/sub.asp?sub_id=1007,אח סמוי,2002,86 דקות,קומדיה / פעולה,אדי גריפין דניס ריצ'ארדס כריס קטן,movies/אח סמוי.txt
52,http://www.torec.net/sub.asp?sub_id=1008,מכונת הזמן,2002,96 דקות,מדע בדיוני,גיא פירס מרק אדי,movies/מכונת הזמן.txt
53,http://www.torec.net/sub.asp?sub_id=975,יום שישי,1995,91 דקות,קומדיה / פשע,אייס קיוב כריס טאקר ניה לונג טומי ליסטר ג'וניור ג'ון וויתרספון אנה מארי הורספורד רג'ינה קינג פולה ג'יי פרקר פייזון לאב טוני קוקס ברני מאק מייקל קלארק דאנקן,movies/יום שישי.txt
54,http://www.torec.net/sub.asp?sub_id=977,יום שישי הבא,2005,95 דקות,קומדיה,אייס קיוב מייק אפס טמלה ג'ונס ג'ון וויתרספון ג'סטין פירס דון קארי טומי ליסטר ג'וניור קים וויתלי ג'ייקוב ורגאס סטיקי פינגאז קליפטון פאוול,movies/יום שישי הבא.txt
55,http://www.torec.net/sub.asp?sub_id=979,1111,2004,95 דקות,מתח,לורה מנל פול דצנקווי קריסטי וויל כריסטינה קופלנד,movies/1111.txt
56,http://www.torec.net/sub.asp?sub_id=980,קר ואפל,2005, ,אימה,לוק גוס קווין האוורת קרלי טורנבול,movies/קר ואפל.txt
57,http://www.torec.net/sub.asp?sub_id=982,שותפים לדירה,2004,88 דקות,"קומדיה, דרמה, רומנטי",א.ג'יי.באקלי הולי פילדס ג'ניפר ליונס ג'ואל מייקלי,movies/שותפים לדירה.txt
58,http://www.torec.net/sub.asp?sub_id=984,שני צעדים למוות,2003,101 דקות,"אקשן,פשע,דרמה,מתח",ג'ט לי די.אם.אקס אנטוני אנדרסון קלי הו טום ארנולד מארק דאקאסקוס גבריאלה יוניו,movies/שני צעדים למוות.txt
59,http://www.torec.net/sub.asp?sub_id=992,אלקטרה,2005,103 דקות,דרמה,ג'ניפר גארנר טרנס סטאמפ גוראן ויסניץ' וויל יון לי קארי הירויוקי טאגאווה בן אפלק,movies/אלקטרה.txt
60,http://www.torec.net/sub.asp?sub_id=936,טיסת לילה,2005,85 דקות,מתח - אימה - דרמה,רייצ'ל מק'אדמס סיליאן מרפי בריאן קוקס טינה אנדרסון,movies/טיסת לילה.txt
61,http://www.torec.net/sub.asp?sub_id=947,הפריצה לאלקטרז,1996,136 דקות,אקשן / מתח,שון קונרי ניקולס קייג' אד האריס ג'ון ספנסר דיוויד מורס מייקל ביין,movies/הפריצה לאלקטרז.txt
62,http://www.torec.net/sub.asp?sub_id=948,האות השביעי,1988,97 דקות,דרמה / מתח,דמי מור מייקל ביין פיטר פרידמן,movies/האות השביעי.txt
63,http://www.torec.net/sub.asp?sub_id=952,תמרה,2005,91 דקות,אימה / מתח,מת'יו מרסדן צ'אד פוסט גיל הכהן קלודט מינק,movies/תמרה.txt
64,http://www.torec.net/sub.asp?sub_id=960,לוחמי הארץ וגן עדן,2003,114 דקות,פעולה - סיני,,movies/לוחמי הארץ וגן עדן.txt
65,http://www.torec.net/sub.asp?sub_id=901,הרוצח בפנים,2005, ,מתח,,movies/הרוצח בפנים.txt
66,http://www.torec.net/sub.asp?sub_id=911,חשדות מהעבר,1995,132 דקות,דרמה,קתי בייטס ג'ניפר ג'ייסון לי,movies/חשדות מהעבר.txt
67,http://www.torec.net/sub.asp?sub_id=921,משנק,2005, ,מתח,גרייסון מק'קאוץ' אדריאן פול איימי לוקן,movies/משנק.txt
68,http://www.torec.net/sub.asp?sub_id=922,בובספוג איפה גארי,2005, ,אנימציה / ילדים,,movies/בובספוג איפה גארי.txt
69,http://www.torec.net/sub.asp?sub_id=923,אוצר לאומי,2004,145 דקות,פעולה / הרפתקאות,ניקולס קייג' דיאן קרוגר הרווי קייטל שון בין כריסטופר פאלמר,movies/אוצר לאומי.txt
70,http://www.torec.net/sub.asp?sub_id=926,הרשת,1995,114 דקות,מתח / דרמה,סנדרה בולוק ג'רמי נורת'מן דניס מילר דיאנה בייקר,movies/הרשת.txt
71,http://www.torec.net/sub.asp?sub_id=928,בזהות אחרת,2002,89 דקות,קומדיה,די.ג'יי.סקוולס אליזה דושקו זואי דסקנל ג'רוד מיקסון,movies/בזהות אחרת.txt
72,http://www.torec.net/sub.asp?sub_id=874,אמריקן פאי 3 החתונה,2003,96 דקות,קומדיה,יוג'ין לוי שון וויליאם סקוט ג'ייסון ביגס אליסון האניגמן ג'נוארי ג'ונס,movies/אמריקן פאי 3 החתונה.txt
73,http://www.torec.net/sub.asp?sub_id=893,מלך האריות 2 מלכות סימבה,1998,81 דקות,קומדיה / מצויר,מתיו ברודריק מוירא קלי נב קמפבל ליז קלאווי מישל הורן אשלי אדנר אנדי דיק,movies/מלך האריות 2 מלכות סימבה.txt
74,http://www.torec.net/sub.asp?sub_id=821,הנוסע השמיני נגד הטורף,2004,87 דקות,אימה,לאנס הנריקסון שאנה לאטן ראול בובה אוון ברמנר קולין סאלמון טומי פלאנגן,movies/הנוסע השמיני נגד הטורף.txt
75,http://www.torec.net/sub.asp?sub_id=825,מלחמת הכוכבים פרק 3 - נקמת הסית',2005,140 דקות,מדע בדיוני,נטלי פורטמן יואן מקגרגור,movies/מלחמת הכוכבים פרק 3 - נקמת הסית'.txt
76,http://www.torec.net/sub.asp?sub_id=827,פחד ראשוני,1996,129 דקות,מתח / פשע / דרמה,ריצ'ארד גיר אדוארד נורטון לורה ליני ג'ון מהוני פרנסס מקדורמנד אלפרה וודוורד טרי או'קווין אנדרה בראואר סטיבן באוור ג'ו ספאנו מאורה טירני,movies/פחד ראשוני.txt
77,http://www.torec.net/sub.asp?sub_id=773,זאב! זאב!,2005,90 דקות,אימה,ג'וליאן מוריס לינדי בות' ג'רד פדלסקי ג'ון בון ג'ובי סנדרה מקוי קריסטין וו ג'יין בירד,movies/זאב! זאב!.txt
78,http://www.torec.net/sub.asp?sub_id=776,שאיפות,2001,123 דקות,דרמה,ג'וני דפ פנולופה קרוז רייצ'ל גריפיתס ריי ליאוטה ג'ורדי מולה פרנקה פונטנה פול רובנס,movies/שאיפות.txt
79,http://www.torec.net/sub.asp?sub_id=797,קקסילי סיור בהר,2004,95 דקות,פעולה / דרמה,דובוג'י זאנג לי קי ליאנג קסוינג זאו,movies/קקסילי סיור בהר.txt
80,http://www.torec.net/sub.asp?sub_id=732,אכזריות בלתי נסבלת,2003,100 דקות,קומדיה,ג'ורג' קלוני קתרין זטה ג'ונס ג'פרי ראש,movies/אכזריות בלתי נסבלת.txt
81,http://www.torec.net/sub.asp?sub_id=737,גול!,2005,121 דקות,דרמה,קונו בקר מרסל איורס אלסנדרו ניבולה סטיבן דיליין אנה פריל דויד בקהאם זינדין זידאן קירון דייר ראול גונזלס בריאן ג'ונסון,movies/גול!.txt
82,http://www.torec.net/sub.asp?sub_id=740,רוע עמוק,2004,90 דקות,"אימה, מדע בדיוני",לורנזו לאמאס אונה גרונר אדם הרינגטון ג'ים ת'ורבורן וויל סנדרסון,movies/רוע עמוק.txt
83,http://www.torec.net/sub.asp?sub_id=741,הנשכחים,2004,96 דקות,אימה,ג'וליאן מור אנתוני אדוארדס גארי סיניז דומיניק ווסט אלפרה וודארד,movies/הנשכחים.txt
84,http://www.torec.net/sub.asp?sub_id=743,המערה,2005,97 דקות,אימה / מדע בדיוני,פייפר פראבו קול האוזר מוריס צ'סטנאט אדי סיבריאן ריק רבנלו,movies/המערה.txt
85,http://www.torec.net/sub.asp?sub_id=747,ג'רזי גירל,2004,102 דקות,קומדיה / דרמה,בן אפלק ג'ניפר לופז ליב טיילר,movies/ג'רזי גירל.txt
86,http://www.torec.net/sub.asp?sub_id=703,להרוג את ביל 1,2003,110 דקות,מתח / פעולה,אומה טורמן דיוויד קאראדין לוסי לו דריל האנה ויויקה פוקס מייקל מדסן,movies/להרוג את ביל 1.txt
87,http://www.torec.net/sub.asp?sub_id=704,להרוג את ביל חלק 2,2004,94 דקות,מתח / פעולה / פשע,אומה תורמן דייוויד קאראדין דאריל האנה סמואל ל. ג'קסון מייקל מדסן צ'אי הו לו לוסי לו כריס נלסון,movies/להרוג את ביל חלק 2.txt
88,http://www.torec.net/sub.asp?sub_id=711,מחלק 13,2005,109 דקות,פעולה / מתח,איתן הוק לורנס פישברן גבריאל ביירן מריה בלו דריה דה מטאו ג'ון לגיזמו ג'ה רול בריאן דנהי מאט קרייבן,movies/מחלק 13.txt
89,http://www.torec.net/sub.asp?sub_id=713,אשה טובה,2004,93 דקות,דרמה / קומדיה / רומנטיקה,הלן האנט סקרלט ג'והנסון ג'ון סטנדינג,movies/אשה טובה.txt
90,http://www.torec.net/sub.asp?sub_id=718,נהר המלך,2005,95 דקות,"דרמה, מתח",אדוארד ברנס ג'ניפר אלי,movies/נהר המלך.txt
91,http://www.torec.net/sub.asp?sub_id=723,מטוס נשמה,2004,93 דקות,קומדיה,טום ארנולד מתוד מן סנופ דוג בריאן הוקס אריאל,movies/מטוס נשמה.txt
92,http://www.torec.net/sub.asp?sub_id=680,מוכרים בלבד,1994,91 דקות,קומדיה,קווין סמית' ג'יסון מיוז,movies/מוכרים בלבד.txt
93,http://www.torec.net/sub.asp?sub_id=681,עכברי הקניון,1995,94 דקות,קומדיה,קווין סמית' ג'יסון מיוז ג'יסון לי,movies/עכברי הקניון.txt
94,http://www.torec.net/sub.asp?sub_id=44649,אדמירל,2015,151 דקות,פעולה / הרפתקאות / ביוגרפיה,פרנק אלמרס סנה לנגלר בארי אסטמה רולנד פרנאוט,movies/אדמירל.txt
95,http://www.torec.net/sub.asp?sub_id=696,הארי פוטר והאסיר מאזקבאן,2004,141 דקות,פנטזיה / הרפתקאות / משפחה,דניאל רדקליף אמה ווטסון רופרט גרינט רובי קולטריין גארי אולדמן מייקל גמבון אלן ריקמן מגי סמית' דיוויד ת'ווליס אמה תומפסון ג'ולי וולטרס ג'ולי קריסטי,movies/הארי פוטר והאסיר מאזקבאן.txt
96,http://www.torec.net/sub.asp?sub_id=700,שרק 2,2004,93 דקות,אנימציה / ילדים / קומדיה,מייק מאיירס אדי מרפי קמרון דיאז אנטוניו בנדרס ג'ון קליז ג'ולי אנדרוס רופרט אוורט לארי קינג ג'ניפר סאונדרס,movies/שרק 2.txt
97,http://www.torec.net/sub.asp?sub_id=637,ירח דבש,2005,90 דקות,קומדיה,סדריק מייק אפס גבריאל יוניון רג'ינה הול אריק סטולץ ג'ון לגיזמו,movies/ירח דבש.txt
98,http://www.torec.net/sub.asp?sub_id=649,אשה חתול,2004,104 דקות,מתח / פעולה,האלי ברי שרון סטון בנג'מין בארט למברט וילסון פרנסס קונרוי,movies/אשה חתול.txt
99,http://www.torec.net/sub.asp?sub_id=650,אחי הדוב,2003,85 דקות,אנימציה,חואקין פינקס ג'רמי סווארז ג'ייסון רייז ריק מוראניס דייב תומאס (דיבוב אנגלי),movies/אחי הדוב.txt
100,http://www.torec.net/sub.asp?sub_id=651,קוביה אפס,2004,97 דקות,מתח / פעולה / אימה,זקרי בנט סטפני מור מייקל ריילי,movies/קוביה אפס.txt
101,http://www.torec.net/sub.asp?sub_id=652,כלה להשגה,2005,95 דקות,קומדיה,הת'ר גרהאם סנדרה או טיי דיגס דייויד סטקליף שריל הינס,movies/כלה להשגה.txt
102,http://www.torec.net/sub.asp?sub_id=655,שר המלחמה,2005,122 דקות,מתח/פעולה,ניקולאס קייג איתן הוק איאן הולם ג'רד לטו בריגיט מונהאיים,movies/שר המלחמה.txt
103,http://www.torec.net/sub.asp?sub_id=657,ביג מאמא,2000,98 דקות,"קומדיה, פשע",מרטין לורנס ניה לונג,movies/ביג מאמא.txt
104,http://www.torec.net/sub.asp?sub_id=618,יומן האקסיות,2004,97 דקות,קומדיה / רומנטיקה,בריטני מרפי הולי האנטר רון ליוינגסטון,movies/יומן האקסיות.txt
105,http://www.torec.net/sub.asp?sub_id=620,מיקיבו ואני,2005,91 דקות,"קומדיה, דרמה",ג'ון ג'ו מקניל. ניאל רייט,movies/מיקיבו ואני.txt
106,http://www.torec.net/sub.asp?sub_id=589,סודות הים הכחול,2005,110 דקות,מתח / פעולה,פול ווקר ג'סיקה אלבה סקוט קאן אשלי סקוט ג'וש ברולין ג'יימס פראיין,movies/סודות הים הכחול.txt
107,http://www.torec.net/sub.asp?sub_id=591,ביג,1988,104 דקות,קומדיה / רומנטיקה,טום הנקס אליזבת פרקינס ג'ון לוביץ,movies/ביג.txt
108,http://www.torec.net/sub.asp?sub_id=604,דברים יפים מלוכלכים,2002,97 דקות,דרמה - מתח,שיבטל אג'יפור אודרי טוטו,movies/דברים יפים מלוכלכים.txt
109,http://www.torec.net/sub.asp?sub_id=605,שחק אותה כמו מייקל,2002,99 דקות,קומדיה / ספורט / משפחה / פנטזיה,באו וואו מוריס צ'סטנט ג'ונתן ליפניקי ברדנה סונג קריספן גלובר רוברט פורסטר יוג'ין לוי ג'סי פלמונס ג'וליוס צ'ארלס ריטר,movies/שחק אותה כמו מייקל.txt
110,http://www.torec.net/sub.asp?sub_id=519,הנוכל המבריק,1999,93 דקות,קומדיה,מיילס לוגן קרלסון דיקון הרדקסטל טוליי,movies/הנוכל המבריק.txt
111,http://www.torec.net/sub.asp?sub_id=520,על בנים ועל בנות,2000,94 דקות,קומדיה,פרדי פרינז קלייר פורלני ג'יייסון ביגס הת'ר דונהיו אמנדה דטמר,movies/על בנים ועל בנות.txt
112,http://www.torec.net/sub.asp?sub_id=521,יומנה של ברידג'ט ג'ונס,2001,98 דקות,קומדיה / רומנטיקה,ג'ים ברודבנט קולין פירת' יו גראנט רנה זלווגר שירלי הנדרסון סאלי פיליפס ג'יימס קאליס,movies/יומנה של ברידג'ט ג'ונס.txt
113,http://www.torec.net/sub.asp?sub_id=522,מעודדות צמודות,2000,98 דקות,קומדיה,קירסטן דאנסט לייזה דושקו ג'סי בראודפורד גבריאלןה אוניון נאטינה ריד שאמארי פירס בראנדי ווליאמס,movies/מעודדות צמודות.txt
114,http://www.torec.net/sub.asp?sub_id=523,אחי,2000,114 דקות,מתח / פעולה,טקאשי קיטארנו עומר אפס קלוד מאקי,movies/אחי.txt
