מסמך,גודל
4139,75
4434,76
4130,92
4131,95
3224,63
4133,196
4134,67
4135,92
4136,191
4137,110
3841,158
3840,115
3264,68
1875,40
3845,86
3844,86
3847,149
1709,113
3849,69
3671,158
4612,49
4465,94
4430,104
4923,71
4433,47
3916,74
4432,37
4920,50
3267,71
4818,80
4462,90
4044,98
4045,51
4046,115
4047,70
4040,89
4042,94
4043,89
4847,116
3910,65
4048,137
4049,127
3266,108
7,50
3982,69
4463,94
1879,87
4921,90
2288,51
2289,71
3667,117
3666,93
3661,54
3660,101
3663,106
2050,152
2280,131
2281,94
2282,73
2283,94
2284,154
2285,28
2286,36
2287,67
4549,172
4548,90
3815,47
4460,101
4538,70
4543,63
4542,65
4545,160
4544,113
4547,85
972,119
4828,185
2578,68
2579,150
2576,99
2577,102
2574,54
2056,146
2572,41
2573,112
2570,38
2571,63
